CodFrota;descricao_especialidade;descricao_especialidadeAgrup;descricao_frota
60518;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 PRO-7C21
60519;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 RCL-7G42
60520;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FMX 540 RCL-7J52
60521;CAMINHAO - PRANCHA;CAMINHAO;CAMINHAO VOLVO FMX 540 RCN-0G11
60522;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FH 540 SHC-4F14
60523;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FH 540 SHC-4F24
60524;CAMINHAO - PRANCHA;CAMINHAO;CAMINHAO VOLVO FM 540 SHC-4F19
60525;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FH 540 SHC-4F16
60526;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FH 540 SHC-9H74
60527;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FM 540 SHC-6H57
60528;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FM 540 SHC-9H40
60529;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FM 540 SHC-6H51
60530;CAMINHAO - PRANCHA;CAMINHAO;CAMINHAO VOLVO FM 540 SHC-9H38
60531;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FM 540 SHC-9H35
60532;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FH 540 SHC-6H48
60533;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FM 540 SHC-6H55
60534;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FM 540 SHC-9H41
60535;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FM 540 SHC-6H52
60536;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FH 540 SHF-0J31
60537;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FM 540 SYK-4C67
60538;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FM 540 SYK-4C62
60539;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FM 540 SYK-4C73
60540;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FM 540 SYK-4C75
60541;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FM 540 SYK-4C76
60542;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FM 540 SYK-4C77
60543;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FM 540 SYK-4C71
60544;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FM 540 SYK-4C65
60545;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FM 540 SYK-4C58
60546;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FM 540 TFF-1J01
60547;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FM 540 TGF-2E11
60548;CAMINHAO - CANAVIEIRO;CAMINHAO;CAMINHAO VOLVO FM 540 TFK-4G41
60800;CAMINHAO - BAU SUPRIMENTOS;CAMINHAO;CAMINHAO VOLVO VM 270 QXA-7193
60801;CAMINHAO - OFICINA;CAMINHAO;CAMINHAO VW 31260 NGY-9844
60802;CAMINHAO - OFICINA;CAMINHAO;CAMINHAO VW 26260 CPN-8029
60803;CAMINHAO - OFICINA;CAMINHAO;CAMINHAO VW 26260 CPN-8A19
60804;CAMINHAO - ASSISTENCIA;CAMINHAO;CAMINHAO VW 9170 QXX-3J83
60805;CAMINHAO - BAU HERBICIDA;CAMINHAO;CAMINHAO VW 8120 OET-2415
60806;CAMINHAO - PRANCHA;CAMINHAO;CAMINHAO VOLVO VM 270 RCE-8J59
60807;CAMINHAO - OFICINA;CAMINHAO;CAMINHAO FORD 2425 RCE-9F89
