ID;Categoria
64404;MANIPULADORA
65000;MOTOR IRRIGACAO
65001;MOTOR IRRIGACAO
65002;MOTOR ESTACIONARIO
65003;MOTOR IRRIGACAO
65004;MOTOR IRRIGACAO
65005;MOTOR IRRIGACAO
65006;MOTOR IRRIGACAO
65007;MOTOR IRRIGACAO
65008;MOTOR IRRIGACAO
65009;MOTOR IRRIGACAO
65011;MOTOR IRRIGACAO
65014;MOTOR IRRIGACAO
65302;ELETROBOMBA
65303;ELETROBOMBA
65304;ELETROBOMBA
65305;ELETROBOMBA
65306;ELETROBOMBA
65307;ELETROBOMBA
65308;ELETROBOMBA
65309;ELETROBOMBA
65310;ELETROBOMBA
65311;ELETROBOMBA
65312;ELETROBOMBA
65313;ELETROBOMBA
65314;ELETROBOMBA
65315;ELETROBOMBA
65316;ELETROBOMBA
65317;ELETROBOMBA
65318;ELETROBOMBA
65319;ELETROBOMBA
65320;ELETROBOMBA
65321;ELETROBOMBA
65322;ELETROBOMBA
65323;ELETROBOMBA
65324;ELETROBOMBA
65325;ELETROBOMBA
65326;ELETROBOMBA
65327;ELETROBOMBA
65328;ELETROBOMBA
65329;ELETROBOMBA
65330;ELETROBOMBA
65331;ELETROBOMBA
65332;ELETROBOMBA
65333;ELETROBOMBA
65500;HIDRO ROLL
65501;HIDRO ROLL
65502;HIDRO ROLL
65503;HIDRO ROLL
65504;HIDRO ROLL
65505;HIDRO ROLL
65506;HIDRO ROLL
65507;HIDRO ROLL
65508;HIDRO ROLL
65509;HIDRO ROLL
65510;HIDRO ROLL
65511;HIDRO ROLL
65512;HIDRO ROLL
65513;HIDRO ROLL
65514;HIDRO ROLL
65515;HIDRO ROLL
65516;HIDRO ROLL
65517;HIDRO ROLL
65518;HIDRO ROLL
65519;HIDRO ROLL
65520;HIDRO ROLL
65521;HIDRO ROLL
65522;HIDRO ROLL
65523;HIDRO ROLL
65524;HIDRO ROLL
65525;HIDRO ROLL
65526;HIDRO ROLL
65527;HIDRO ROLL
65528;HIDRO ROLL
65529;HIDRO ROLL
65530;HIDRO ROLL
65531;HIDRO ROLL
65532;HIDRO ROLL
65533;HIDRO ROLL
65534;HIDRO ROLL
65535;HIDRO ROLL
65536;HIDRO ROLL
65537;HIDRO ROLL
65538;HIDRO ROLL
65539;HIDRO ROLL
65540;HIDRO ROLL
65541;HIDRO ROLL
65542;HIDRO ROLL
65543;HIDRO ROLL
65544;HIDRO ROLL
65545;HIDRO ROLL
65546;HIDRO ROLL
65547;HIDRO ROLL
65548;HIDRO ROLL
65549;HIDRO ROLL
65550;HIDRO ROLL
65551;HIDRO ROLL
65552;HIDRO ROLL
65553;HIDRO ROLL
65554;HIDRO ROLL
65555;HIDRO ROLL
65700;MOTOR GERADOR
65701;MOTOR GERADOR
65702;MOTOR GERADOR
65703;MOTOR GERADOR
65704;MOTOR GERADOR
65705;MOTOR GERADOR
65706;MOTOR GERADOR
65707;MOTOR GERADOR
65708;MOTOR GERADOR
65709;MOTOR GERADOR
65710;MOTOR GERADOR
65711;MOTOR GERADOR
65712;MOTOR GERADOR
65713;MOTOR GERADOR
65714;MOTOR GERADOR
65715;MOTOR GERADOR
65716;MOTOR GERADOR
65717;MOTOR GERADOR
65800;MOTOR ESTACIONARIO
65801;MOTOR ESTACIONARIO
66000;MOTOSSERRA
66001;MOTOSSERRA
66002;PULV. IMPLEMENTO
66003;GRADE
66004;GRADE
66005;PLANTADORA CANA
66006;PLANTADORA CANA
66007;PLANTADORA CANA
66008;PLANTADORA CANA
66009;PLANTADORA CANA
66010;PLANTADORA CANA
66011;PLANTADORA CANA
66012;PLANTADORA CANA
66013;COBRIDOR
66014;COBRIDOR
66015;GRADE
66016;SULCADOR
66017;SULCADOR
66018;SULCADOR
66019;PULV. IMPLEMENTO
66020;COBRIDOR
66021;SUBSOLADOR
66022;SUBSOLADOR
66023;SUBSOLADOR
66024;CARRETA
66025;CARRETA
66026;CARRETA
66027;SUBSOLADOR
66028;PULV. IMPLEMENTO
66029;GRADE
66030;SULCADOR
66031;CULTIVADOR
66032;DISTRIB. ADUBO
66033;DISTRIB. ADUBO
66034;CARRETA
66035;CULTIVADOR
66036;SULCADOR
66037;CULTIVADOR
66038;ROCADEIRA
66039;ROCADEIRA
66040;SULCADOR
66041;GRADE
66042;GRADE
66043;SUBSOLADOR
66044;SULCADOR
66045;CARRETA
66046;ROCADEIRA
66047;PULV. IMPLEMENTO
66048;SULCADOR
66049;CARRETA
66050;GRADE
66051;TRANSFORMADOR
66052;SUBSOLADOR
66053;CARRETA
66054;CARRETA
66055;ELETROIMA
66056;IMPLEMENTOS AGRICOLAS
66057;IMPLEMENTOS AGRICOLAS
66058;DISTRIB. ADUBO
66059;ROCADEIRA
66060;TRANSFORMADOR
66061;TRANSFORMADOR
66062;TRANSFORMADOR
66063;TRANSFORMADOR
66064;DISTRIB. ADUBO
66065;CARRETA
66066;CARRETA
66067;CARRETA
66068;CARRETA
66069;TRANSFORMADOR
66070;TRANSFORMADOR
66071;CARRETA
66072;TRANSFORMADOR
66073;TRANSFORMADOR
66074;TRANSFORMADOR
66075;TRANSFORMADOR
66076;TRANSFORMADOR
66077;CARRETA
66078;REBOQUE TANQUE
66079;AREA VIVENCIA
66080;AREA VIVENCIA
66081;AREA VIVENCIA
66082;AREA VIVENCIA
66083;AREA VIVENCIA
66084;AREA VIVENCIA
66085;AREA VIVENCIA
66086;AREA VIVENCIA
66087;AREA VIVENCIA
66088;AREA VIVENCIA
66089;AREA VIVENCIA
66090;AREA VIVENCIA
66091;SUBSOLADOR
66092;CARRETA
